QS Recursion Limit, AVG Elapsed Time
2,4135990413
4,4050019818
6,4017471139
8,4007963303
10,4006864210
12,3977469165
14,4151729286
16,4142679690
18,4064037946
20,4031669320
22,4052764564
24,4075900554
26,4124369440
28,4146004702
30,4132457899
32,4147752185
34,4204044286
36,4214010646
38,4237142654
40,4242810776
42,4304660919
44,4331859627
46,4351059334
48,4378845278
50,4404779062
52,4435404330
54,4480539528
56,4517454854
58,4539074187
60,4563135333
62,4571975151
64,4627263448
66,4680812794
68,4665889280
70,4720011071
72,4734005304
74,4778638459
76,4809938001
78,4828998188
80,4878485100
82,4912448606
84,4932187904
86,4971654981
88,5008321560
90,5038289761
92,5051420280
94,5106857909
96,5127815767
98,5175946449
100,5193665339
102,5218642395
104,5274828682
106,5300753649
108,5304037559
110,5356043368
112,5391843103
114,5421298167
116,5496059380
118,5485150797
120,5516696241
122,5537287166
124,5591011161
126,5768324223
128,5763930980
130,5729410533
132,5723687656
134,5748974471
136,5798289010
138,5814020346
140,5889921753
142,5869669175
144,5907090101
146,5966577081
148,5997545672
150,6012653790
152,6053759408
154,6075099985
156,6112464449
158,6138093452
160,6193306370
162,6239301017
164,6252252337
166,6279237996
168,6314878443
170,6348089309
172,6377593723
174,6413767077
176,6465043570
178,6500785137
180,6528075294
182,6540425014
184,6585788052
186,6610467721
188,6653979454
190,6683539334
192,6712981740
194,6727174658
196,6783701994
198,6821298707
200,6848114980
202,6931595549
204,6958254524
206,6952304375
208,6992764020
210,7021669253
212,7043251893
214,7082019520
216,7121012002
218,7436623742
220,7182186731
222,7239178707
224,7252737172
226,7275910282
228,7325168217
230,7357194087
232,7400601429
234,7414415894
236,7473761078
238,7494245762
240,7514240491
242,7545934273
244,7576191754
246,7635482466
248,7665434027
250,7691517713
252,7732471723
254,7777464415
256,7808117557
258,7894347565
260,7878096123
262,7923315232
264,7980275777
266,7973071229
268,8060373592
270,8047176228
272,8097088385
274,8109263740
276,8246481957
278,8191961660
280,8214658610
282,8271484897
284,8305254127
286,8315814407
288,8351811405
290,8388025007
292,8417807750
294,8460287804
296,8487951720
298,8526966246
300,8551933489
,
