QS Recursion Limit, AVG Elapsed Time
2,2560179103
4,2471154145
6,2457447627
8,2439198959
10,2467758733
12,2423447997
14,2426927462
16,2454623237
18,2450998848
20,2458249618
22,2457938578
24,2471997381
26,2479698995
28,2513714980
30,2517580153
32,2541498933
34,2536187931
36,2563344684
38,2584224604
40,2604967991
42,2629105651
44,2633391232
46,2655207400
48,2664057316
50,2694548325
52,2713968051
54,2737371561
56,2750736604
58,2774108256
60,2794285172
62,2807527051
64,2831016605
66,2855688310
68,2876221208
70,2890842215
72,2902087579
74,2925167818
76,2974894802
78,3006248388
80,2996893868
82,3005811624
84,3030980395
86,3129935304
88,3102830747
90,3162838543
92,3132215836
94,3144496862
96,3147203066
98,3177148653
100,3192163473
102,3246338028
104,3239794244
106,3265427228
108,3278317534
110,3298071481
112,3318709339
114,3346491869
116,3356312594
118,3380191838
120,3393305289
122,3418135288
124,3447685497
126,3466195143
128,3489136147
130,3521132435
132,3534186438
134,3551401436
136,3578154135
138,3605566604
140,3613691187
142,3645483955
144,3658550332
146,3683974392
148,3748837227
150,3733335722
152,3756835659
154,3767581681
156,3800646058
158,3812922675
160,3836693403
162,3864022955
164,3873314756
166,3902265926
168,3939312097
170,3938654746
172,3975291459
174,3994153958
176,4014062358
178,4050644458
180,4053636243
182,4075449994
184,4093408102
186,4125056942
188,4155942475
190,4416910186
192,4404647222
194,4326827807
196,4249616391
198,4257811517
200,4283578047
202,4295369971
204,4326196198
206,4368189851
208,4363618547
210,4390496971
212,4399710123
214,4407756057
216,4429898483
218,4459255839
220,4476293343
222,4508749152
224,4525767171
226,4542758026
228,4568760077
230,4605701004
232,4676795444
234,4845478181
236,4964950201
238,4920195447
240,4708780355
242,4760833240
244,4748432605
246,4770801591
248,4941260683
250,4907910154
252,4848807744
254,4857722656
256,4889348456
258,4901722353
260,4937774675
262,4958863662
264,4968688369
266,4984229411
268,5027915223
270,5025424060
272,5050520156
274,5070642885
276,5094860617
278,5118686527
280,5133061063
282,5159666136
284,5192084540
286,5219678199
288,5223468847
290,5255085828
292,5318971881
294,5301218004
296,5322038476
298,5340467339
300,5380170505
,
