QS Recursion Limit, AVG Elapsed Time
2,2772234621
4,2724412277
6,2704670703
8,2683186482
10,2674663818
12,2685918142
14,2679620403
16,2691846958
18,2700674545
20,2698813568
22,2719909240
24,2733390905
26,2751695750
28,2764049594
30,2804145434
32,2819515241
34,2830143930
36,2894820169
38,2860603508
40,2882834539
42,2890872082
44,2913334935
46,2942217126
48,2956561370
50,2971198874
52,2998304853
54,3021816737
56,3035615416
58,3063501200
60,3083595057
62,3098702322
64,3122291290
66,3143360934
68,3164663823
70,3185953627
72,3207140605
74,3238929960
76,3253051767
78,3272732470
80,3308849361
82,3317378282
84,3340347303
86,3367909958
88,3379662345
90,3399867136
92,3438541892
94,3454033726
96,3485536219
98,3499007929
100,3517213646
102,3553366519
104,3567491028
106,3579459735
108,3618361763
110,3680692332
112,3671245935
114,3691236398
116,3703499220
118,3727705005
120,3756711072
122,3773485465
124,4039063165
126,3838116478
128,3852984667
130,3877467501
132,3916627520
134,3933246890
136,3946626298
138,3963735624
140,3995149513
142,4020309182
144,4060779209
146,4064860132
148,4095782501
150,4102331547
152,4161401246
154,4164793814
156,4206174205
158,4188520310
160,4231739918
162,4245088891
164,4265324118
166,4297490362
168,4309833965
170,4352757752
172,4367255310
174,4387071266
176,4420846895
178,4429375959
180,4454708286
182,4497014116
184,4520673057
186,4550368618
188,4560935867
190,4586388940
192,4607493287
194,4616055915
196,4656419844
198,4682802624
200,4698625550
202,4710593972
204,4739454831
206,4767793592
208,4798782664
210,4810493236
212,4953006953
214,5147141342
216,5043458541
218,5038276677
220,5158373194
222,5090837579
224,5237952467
226,5013946874
228,5045569261
230,5057167193
232,5081241707
234,5105140862
236,5165013262
238,5161258882
240,5177746697
242,5207444960
244,5247621725
246,5240588697
248,5279933747
250,5295378078
252,5317942762
254,5344403053
256,5362920520
258,5396895119
260,5409595274
262,5456508391
264,5469993897
266,5503702256
268,5508066201
270,5532523292
272,5557791904
274,5581093299
276,5595959212
278,5625515253
280,5651853375
282,5688808381
284,5709433297
286,5719120617
288,5765151389
290,5787787184
292,5796498860
294,5826486261
296,5842582253
298,5872060356
300,5911848571
,
