QS Recursion Limit, AVG Elapsed Time
2,1720467035
4,1711097581
6,1684063850
8,1679771443
10,1677189399
12,1670222220
14,1676732724
16,1690246105
18,1680357683
20,1740214581
22,1704971219
24,1707463093
26,1717713614
28,1733251954
30,1742171559
32,1752967358
34,1762868865
36,1780716751
38,1790382027
40,1809660667
42,1819153144
44,1837147092
46,1845845825
48,1858721198
50,1871076464
52,1894594889
54,1902865961
56,1917756621
58,1917992710
60,1941137518
62,1951064198
64,1972730180
66,1985723170
68,2004909651
70,2015077398
72,2025120984
74,2117555576
76,2062830337
78,2068736113
80,2103065129
82,2099767993
84,2111669713
86,2142514570
88,2141695512
90,2153506921
92,2173357010
94,2187448524
96,2213694486
98,2222292527
100,2234666424
102,2258261081
104,2267918819
106,2279316218
108,2299984939
110,2316809678
112,2327826633
114,2345080030
116,2357192380
118,2375725777
120,2388648082
122,2402586566
124,2420133936
126,2437737484
128,2471999087
130,2475866819
132,2486609143
134,2503600709
136,2511688457
138,2537691219
140,2538296943
142,2560264294
144,2611179828
146,2605950603
148,2604858622
150,2620563788
152,2650819278
154,2663349619
156,2665587911
158,2687142533
160,2709903768
162,2719442609
164,2733063794
166,2739857462
168,2776571259
170,2791814489
172,2803387248
174,2819414690
176,2823676519
178,2857420291
180,2858923722
182,2875555182
184,2890413700
186,2922666415
188,2933757326
190,2951938296
192,2960699465
194,2971858785
196,2982303012
198,3001856710
200,3014550038
202,3032556643
204,3058083246
206,3060145894
208,3076769247
210,3099867832
212,3112670814
214,3131463766
216,3148515776
218,3163124552
220,3174572441
222,3193055775
224,3201788784
226,3224120082
228,3240324022
230,3268304668
232,3268939689
234,3285868251
236,3304189879
238,3329129673
240,3333422791
242,3491763416
244,3373468427
246,3401898921
248,3403815792
250,3417472390
252,3429840172
254,3487595596
256,3471943478
258,3482999402
260,3496929495
262,3512434697
264,3522030426
266,3540321333
268,3545792478
270,3573087898
272,3582800106
274,3605717217
276,3768046463
278,3853136844
280,3734781980
282,3699208519
284,3718825080
286,3724116170
288,3777813997
290,3773331581
292,3776384095
294,3784605389
296,3804784865
298,3836052549
300,3841112245
,
