QS Recursion Limit, AVG Elapsed Time
2,3637063265
4,3540572640
6,3514153878
8,3511745203
10,3468235889
12,3474014660
14,3477385609
16,3477491565
18,3498538880
20,3512286928
22,3522508293
24,3547470130
26,3578298064
28,3634486058
30,3643987920
32,3619250509
34,3660234100
36,3679087639
38,3702460855
40,3725850570
42,3748606685
44,3881768725
46,3859799811
48,3829105708
50,3860237997
52,3867293781
54,3912599930
56,3943930335
58,3951905300
60,3977603138
62,4008609560
64,4047205242
66,4064496897
68,4101703352
70,4122733174
72,4138979923
74,4171183145
76,4192269145
78,4227612205
80,4252808140
82,4280595933
84,4305402323
86,4329233495
88,4355438639
90,4406247649
92,4420319678
94,4452822136
96,4483714922
98,4502124585
100,4539538258
102,4603341538
104,4603868471
106,4618957247
108,4657669266
110,4710502950
112,4715185472
114,4945099116
116,4805019247
118,4814648256
120,4843302182
122,4871219966
124,4880382913
126,4916299271
128,4942672664
130,4979319191
132,5009075338
134,5036648375
136,5081724551
138,5090465952
140,5108985838
142,5140122820
144,5170681527
146,5208088515
148,5237806405
150,5254504708
152,5300542449
154,5333801813
156,5350533965
158,5373955680
160,5418126612
162,5440562158
164,5478280329
166,5621919166
168,5628080229
170,5569716805
172,5590338023
174,5616236252
176,5638718020
178,5691615704
180,5727152188
182,5732856149
184,5757017134
186,5793966452
188,5814499350
190,5853153627
192,6124710773
194,5949298368
196,5939167030
198,5977534302
200,5995959610
202,6028765570
204,6085576354
206,6087632175
208,6117293319
210,6133289898
212,6172174148
214,6215346965
216,6240702332
218,6287414206
220,6304613701
222,6326202456
224,6360203508
226,6396314569
228,6426401382
230,6451957282
232,6489888360
234,6530105373
236,6541048089
238,6570914743
240,6598507549
242,6618029105
244,6705411539
246,6675970982
248,6704821174
250,6778735739
252,6828032927
254,6806762180
256,6837424993
258,6913971521
260,6910852162
262,6933838250
264,6970676066
266,6994883273
268,7018596400
270,7036718775
272,7071852200
274,7108876611
276,7133163178
278,7157936714
280,7178553097
282,7219468422
284,7268460686
286,7281672271
288,7313394781
290,7346980545
292,7688932399
294,7417595270
296,7451149034
298,7465398983
300,7526311455
,
