QS Recursion Limit, AVG Elapsed Time
2,22457590
4,17259512
6,22541643
8,32126280
10,13827549
12,10321346
14,10739337
16,14915549
18,22483333
20,16186730
22,27864877
24,31449017
26,34751273
28,18964898
30,16042518
32,26132753
34,16838819
36,15895317
38,16322411
40,17022997
42,5840779
44,6820974
46,5102504
48,6256495
50,5605117
52,6232744
54,4802842
56,5785313
58,5209598
60,5389509
62,9079462
64,5505989
66,12582963
68,10748297
70,7208530
72,7173686
74,15826766
76,9111605
78,7496957
80,5747339
82,7103286
84,8287285
86,5157118
88,5716762
90,5549651
92,5902077
94,20752347
96,7888067
98,20113485
100,7517294
102,9034378
104,6024246
106,4580834
108,5299340
110,5041918
112,5128957
114,6655428
116,8986023
118,5587340
120,6737063
122,6579055
124,7204690
126,6252513
128,5486362
130,10038894
132,6804761
134,5283126
136,5991109
138,9810769
140,6890095
142,7341508
144,6952815
146,5112886
148,4564336
150,5361633
152,5055571
154,4471464
156,4446718
158,4464211
160,5888850
162,5987268
164,4861295
166,5548655
168,6303286
170,4847642
172,4867695
174,5254540
176,5359784
178,4985597
180,4727606
182,5804797
184,6080423
186,5232495
188,4955446
190,8867694
192,6701081
194,6204299
196,5966788
198,7725935
200,6617881
202,7233277
204,9464031
206,6733792
208,7066592
210,8713525
212,5826984
214,7022504
216,15967282
218,11731479
220,13653896
222,10733364
224,14008456
226,16581681
228,17224668
230,11544173
232,9570271
234,9926822
236,8637862
238,11638466
240,8848209
242,10433986
244,7916938
246,11123764
248,8931125
250,8616671
252,10420902
254,7518859
256,10316511
258,6795517
260,5783179
262,6503962
264,6460441
266,6043872
268,8962698
270,8937240
272,9481524
274,9228795
276,6700512
278,7100014
280,6874592
282,6128068
284,7812405
286,9801525
288,7666201
290,11855212
292,8898983
294,8224850
296,7624387
298,6607073
300,8298236
,
