QS Recursion Limit, AVG Elapsed Time
2,1015559673
4,991865461
6,1000123733
8,978396453
10,977089716
12,980835848
14,975954072
16,978697822
18,992637727
20,990983115
22,997743361
24,1000733582
26,1014697380
28,1013184705
30,1024065270
32,1026253357
34,1034603221
36,1041049582
38,1052124422
40,1053549061
42,1072485231
44,1076248572
46,1088622184
48,1088317545
50,1167650204
52,1107580256
54,1114960591
56,1125822239
58,1139017469
60,1138613842
62,1159197656
64,1160606509
66,1176296173
68,1177337809
70,1190785341
72,1200210119
74,1207700391
76,1214654344
78,1230647083
80,1237593640
82,1250022862
84,1254487074
86,1266480100
88,1277742388
90,1289594471
92,1297915891
94,1304784367
96,1319374085
98,1323483168
100,1331487432
102,1342155089
104,1347594945
106,1358067616
108,1370449904
110,1393827814
112,1389643211
114,1404276307
116,1411173940
118,1423327250
120,1429785132
122,1434775708
124,1445397854
126,1454052926
128,1471184723
130,1499114027
132,1511432457
134,1494240216
136,1503995233
138,1515725006
140,1527892965
142,1544015270
144,1551924813
146,1554098110
148,1565808541
150,1572245942
152,1590140193
154,1592282485
156,1605772115
158,1611939010
160,1624525386
162,1631800619
164,1645839653
166,1664082348
168,1664878934
170,1676429507
172,1683360419
174,1708663591
176,1703893601
178,1712795429
180,1719800155
182,1735374904
184,1744042918
186,1753708905
188,1767252010
190,1779168805
192,1781433978
194,1801199729
196,1805094056
198,1839408281
200,1821632787
202,1830833850
204,1843568706
206,1851182570
208,1867400020
210,1878080336
212,1879628851
214,1894396205
216,1898552363
218,1907799221
220,1919579625
222,1932347477
224,1943744877
226,1949537586
228,1959934168
230,2070847543
232,1999434951
234,1993439718
236,1996171379
238,2013424776
240,2018028934
242,2029983418
244,2033588750
246,2042762221
248,2058197593
250,2067736006
252,2089295748
254,2090317615
256,2100154553
258,2108258229
260,2121368979
262,2131795286
264,2139113042
266,2153599365
268,2158346172
270,2173658521
272,2186850338
274,2196242121
276,2202908215
278,2211000941
280,2225307637
282,2233150905
284,2240077408
286,2247879147
288,2266889841
290,2287109993
292,2280601195
294,2295333847
296,2305457505
298,2313037519
300,2329615077
,
