QS Recursion Limit, AVG Elapsed Time
2,738590120
4,684104810
6,690979403
8,679472065
10,675663213
12,668318861
14,672839819
16,679256314
18,680289843
20,680925149
22,690758105
24,695518707
26,693546228
28,698560271
30,704777655
32,708955715
34,707768302
36,750377635
38,731846087
40,753380656
42,867240021
44,792465582
46,776231633
48,785417193
50,880575624
52,790245351
54,772710354
56,781492431
58,781695950
60,801111551
62,796131073
64,803027995
66,808958232
68,814513857
70,822818208
72,816521038
74,826658491
76,845883657
78,848240705
80,846267514
82,857788647
84,861720379
86,868128483
88,885560653
90,986043170
92,1013443976
94,964591802
96,964388850
98,974914428
100,924995729
102,980767013
104,970118982
106,977894409
108,964197988
110,1010335569
112,1127738825
114,1093133471
116,985814762
118,1026876006
120,1024033127
122,1046533242
124,1046660531
126,1046454309
128,1055904118
130,1060038232
132,1050201863
134,1147410995
136,1141428704
138,1192192487
140,1083066986
142,1043204817
144,1174341472
146,1177109115
148,1213969971
150,1091958289
152,1091921738
154,1109330300
156,1096010767
158,1092269472
160,1140889255
162,1144419494
164,1117308110
166,1123027574
168,1145289040
170,1348745380
172,1741935185
174,1675191605
176,1249004125
178,1428679639
180,1227797236
182,1270145591
184,1337587482
186,1269246605
188,1212672620
190,1317687757
192,1399959439
194,1352804827
196,1215818148
198,1211977580
200,1219635248
202,1235689286
204,1240365408
206,1251599395
208,1253270220
210,1253271785
212,1289927982
214,1447951737
216,1614178866
218,1391930286
220,1358787545
222,1385144582
224,1315779136
226,1433210126
228,1473955495
230,1683786374
232,1563380666
234,1749730240
236,1543612354
238,1828067771
240,1702365140
242,1715192441
244,1439543990
246,1528665516
248,1698495560
250,1750064889
252,1615763648
254,1457111556
256,1446115934
258,1417573084
260,1425406111
262,1423574859
264,1432797539
266,1668752497
268,1738872146
270,1680086039
272,1715146930
274,2004003269
276,1832525725
278,1779611543
280,1750881244
282,1570714068
284,1541446311
286,1573677124
288,1540383912
290,1550761578
292,1525128024
294,1537798170
296,1540327734
298,1545754931
300,1549685952
,
