QS Recursion Limit, AVG Elapsed Time
2,231581198
4,187952702
6,194876361
8,187599706
10,186750071
12,194992272
14,195500005
16,195631276
18,190849767
20,242410847
22,189141679
24,260161027
26,254226665
28,194293819
30,229030302
32,247664818
34,210169794
36,203155824
38,202794438
40,209429812
42,216477205
44,217778253
46,221495656
48,229857181
50,222072651
52,236944112
54,225443601
56,232205838
58,227603956
60,225754783
62,224054091
64,237010103
66,235390193
68,230552221
70,234449108
72,240147097
74,244732055
76,241737852
78,418990327
80,241696039
82,245306917
84,248367254
86,251354204
88,249286578
90,252298985
92,256259446
94,266396188
96,272612292
98,274022141
100,274415243
102,294678203
104,269896560
106,268915085
108,274408274
110,276887491
112,276356575
114,289940641
116,301388102
118,298050290
120,426630502
122,314618319
124,475342304
126,312187030
128,318902762
130,380935517
132,341561454
134,343717115
136,333560035
138,359676575
140,328874100
142,333731840
144,332825600
146,333179733
148,331301405
150,332338204
152,323022937
154,348313309
156,350715868
158,385829808
160,476550196
162,338256353
164,348241913
166,364564182
168,381737081
170,351535352
172,375291858
174,407624501
176,388282714
178,367033443
180,372796427
182,367539327
184,382747712
186,366642759
188,415500765
190,387953328
192,394328152
194,376138648
196,393255939
198,386462270
200,379154327
202,373867218
204,377214559
206,395067138
208,400878904
210,413742046
212,403760467
214,403650530
216,419433919
218,393413521
220,404279578
222,415766577
224,426478609
226,417357759
228,423840103
230,452032376
232,465333703
234,588591393
236,443179331
238,437298729
240,454408197
242,440048736
244,463961686
246,470077239
248,450015096
250,463751766
252,444866227
254,467593187
256,696777089
258,457821386
260,464789135
262,464531855
264,481365270
266,469316350
268,493404660
270,536170153
272,541718097
274,517014108
276,494950331
278,478563636
280,486639010
282,489772164
284,485838299
286,497645583
288,498696320
290,517355725
292,504426025
294,497064605
296,505953917
298,500297742
300,505616140
,
