QS Recursion Limit, AVG Elapsed Time
2,4435900258
4,4360823881
6,4321059134
8,4282738083
10,4317331206
12,4292390986
14,4665647218
16,4336682665
18,4311844276
20,4338925651
22,4368086741
24,4372513974
26,4404399329
28,4423044654
30,4455251005
32,4472277700
34,4493140554
36,4530640129
38,4580065317
40,4576085940
42,4614790564
44,4645189271
46,4674592850
48,4720631728
50,4728210178
52,4765505095
54,4800976867
56,4842188725
58,4849776988
60,4881840690
62,4907631968
64,4952489975
66,4996903681
68,5011209950
70,5042270702
72,5091244903
74,5100544952
76,5175444831
78,5192607491
80,5215915570
82,5238459347
84,5291359306
86,5327051949
88,5369156393
90,5401003206
92,5531269320
94,5448549782
96,5479050889
98,5544410932
100,5565111225
102,5595925363
104,5654406974
106,5691014532
108,5704979183
110,5734847971
112,5774085643
114,5803456937
116,5828221797
118,5880338113
120,5919821118
122,5936070569
124,5982356487
126,6020204222
128,6042269564
130,6076698278
132,6124273155
134,6385850715
136,6205856907
138,6221647265
140,6269177200
142,6327671469
144,6343354875
146,6367739718
148,6403465783
150,6448465159
152,6469085951
154,6508366289
156,6530717782
158,6588146523
160,6647329003
162,6652864005
164,6677079746
166,6726774587
168,6760345560
170,6797636779
172,6830235521
174,6866811363
176,6902907632
178,6948580857
180,6980219172
182,7010244973
184,7042806737
186,7069341268
188,7113831204
190,7144063228
192,7183153842
194,7203940606
196,7264064883
198,7488176858
200,7354429288
202,7353038498
204,7402130175
206,7455728587
208,7468410822
210,7498013227
212,7524872593
214,7569777534
216,7645562462
218,7630340282
220,7739191436
222,7719647124
224,7759307480
226,7799719054
228,7797251358
230,7856557999
232,7917062862
234,7931834766
236,7959341813
238,7980447581
240,8028413143
242,8044613101
244,8112103632
246,8177059906
248,8191470424
250,8201664340
252,8281134244
254,8286470135
256,8330371699
258,8358723971
260,8408235630
262,8417810168
264,8638634394
266,8632944228
268,8527030388
270,8572564520
272,8619121655
274,8644377467
276,8683271673
278,8724577255
280,9049550912
282,8820116698
284,8850293966
286,8869406491
288,8912222757
290,8930207318
292,9030625836
294,9012421541
296,9048973348
298,9071129285
300,9112672520
,
