QS Recursion Limit, AVG Elapsed Time
2,449620430
4,440076754
6,424597294
8,415186311
10,444005356
12,433661539
14,439577839
16,485088077
18,425632529
20,439766710
22,524169447
24,459713795
26,481179386
28,463249011
30,484415651
32,506625206
34,480491030
36,516036615
38,524753980
40,588753384
42,493587274
44,495915166
46,491618634
48,492345248
50,506247179
52,506912779
54,517830890
56,521396826
58,511235763
60,520597822
62,535229069
64,532017977
66,623489013
68,632441045
70,535627007
72,527534566
74,615412502
76,569319721
78,545754646
80,556805451
82,542875786
84,546165100
86,552329720
88,551723142
90,561339778
92,566914175
94,601191423
96,580739876
98,681624882
100,670489883
102,835362914
104,650550336
106,638364029
108,643905716
110,717186254
112,651509339
114,648338781
116,730771030
118,687915226
120,706756960
122,664950472
124,680070251
126,647517874
128,699871701
130,715313614
132,715689081
134,719207089
136,724882179
138,674326183
140,679699052
142,682820828
144,684994694
146,691073554
148,742985922
150,724754322
152,729985822
154,744033531
156,755128850
158,722065469
160,729251386
162,749608355
164,778662352
166,804857541
168,762598501
170,782997141
172,770230142
174,789427005
176,942539402
178,852211262
180,851525894
182,759805400
184,785747576
186,784934776
188,825663932
190,791749351
192,794598487
194,887433292
196,848491300
198,893828027
200,893349308
202,994058527
204,901387846
206,824174866
208,890710660
210,914476410
212,883807196
214,951095772
216,870128979
218,929852901
220,909058883
222,883587178
224,946900929
226,868116963
228,869835291
230,875428035
232,920135571
234,942819295
236,943370121
238,1001215146
240,961478700
242,1041571537
244,951210829
246,965226965
248,1011022075
250,945411010
252,921413011
254,926693578
256,938926959
258,936285467
260,941460363
262,998272427
264,983575757
266,986866067
268,958792266
270,993862687
272,973217860
274,981059279
276,989300911
278,987259739
280,981962248
282,988670725
284,998090525
286,1006106308
288,1000866133
290,1008870538
292,1019818658
294,1022931332
296,1021073200
298,1022942710
300,1035243505
,
