QS Recursion Limit, AVG Elapsed Time
2,2023845536
4,1989137782
6,1963829490
8,1955761939
10,1940940113
12,1955546187
14,1961673260
16,1959581884
18,1963662238
20,1967248796
22,1972002714
24,1994624571
26,2008578841
28,2006627695
30,2037400304
32,2033527310
34,2060018605
36,2076609958
38,2080437441
40,2138529647
42,2117098048
44,2131045917
46,2142317308
48,2154905107
50,2172492157
52,2183621041
54,2207506827
56,2214896263
58,2243938598
60,2246672535
62,2268275512
64,2279075152
66,2305489362
68,2316489678
70,2339590397
72,2351051512
74,2400348700
76,2486307348
78,2421346807
80,2436099796
82,2434007139
84,2467997382
86,2469176546
88,2545120052
90,2506005544
92,2510451693
94,2535035931
96,2549050788
98,2567839757
100,2583376249
102,2606825412
104,2618846314
106,2638831941
108,2653921427
110,2687713555
112,2694499685
114,2706565102
116,2726409503
118,2736954707
120,2754321455
122,2774731331
124,2792321368
126,2811962107
128,2826524518
130,2847157256
132,2865265124
134,2877608443
136,2899126941
138,2935158356
140,2938145590
142,2949812644
144,2976859032
146,2983088505
148,2998558152
150,3021383386
152,3040630027
154,3053212422
156,3069527721
158,3091539161
160,3112493747
162,3131777224
164,3154768574
166,3161009424
168,3185020223
170,3354300435
172,3225769006
174,3242952002
176,3247127503
178,3277245605
180,3282110457
182,3337177029
184,3327666491
186,3348152740
188,3354921946
190,3373139894
192,3399782371
194,3440995936
196,3428108048
198,3456729405
200,3473950375
202,3503460194
204,3512807745
206,3520452471
208,3541014240
210,3569554672
212,3576938136
214,3632867143
216,3614242297
218,3625278311
220,3651121358
222,3666191502
224,3677078893
226,3693359349
228,3722024936
230,3728625467
232,3772270177
234,3768184845
236,3804000794
238,3810762320
240,3838735144
242,3847322092
244,3879302593
246,3886538573
248,3911829655
250,3905651667
252,3950873194
254,3966867925
256,3975370535
258,3983167296
260,3999029902
262,4025237607
264,4041562293
266,4057571389
268,4075111790
270,4205646988
272,4110918210
274,4130674148
276,4141914250
278,4173377632
280,4182803121
282,4198728448
284,4220148670
286,4228216933
288,4261809239
290,4272553270
292,4331132160
294,4315307385
296,4329006935
298,4343633062
300,4368339469
,
