QS Recursion Limit, AVG Elapsed Time
2,2270841342
4,2235232184
6,2209570328
8,2207385369
10,2187782319
12,2189075546
14,2195810760
16,2206828996
18,2206651645
20,2214062273
22,2230677804
24,2245047646
26,2262765114
28,2273845074
30,2279643187
32,2303266004
34,2313639404
36,2330743041
38,2353234907
40,2357115723
42,2378504087
44,2391763317
46,2408525478
48,2462298114
50,2447588786
52,2464849153
54,2488463578
56,2490657070
58,2512483194
60,2538121868
62,2550636138
64,2573706137
66,2587054113
68,2792424052
70,2628595785
72,2651270406
74,2665881885
76,2696964254
78,2698955506
80,2699399666
82,2738748413
84,2750227875
86,2746466668
88,2802470911
90,2788339290
92,2785682153
94,2846650945
96,2847551069
98,2861639027
100,2877578577
102,2900000327
104,2918589616
106,2964986468
108,2959992906
110,2969484101
112,2984267242
114,3005443411
116,3023288594
118,3066337820
120,3058144686
122,3084126542
124,3106825910
126,3119759309
128,3193017517
130,3173899161
132,3181043407
134,3211333883
136,3227686871
138,3249198116
140,3287466544
142,3310745894
144,3310321645
146,3322437267
148,3343001453
150,3362575917
152,3376668425
154,3400079616
156,3424261508
158,3446327276
160,3462931287
162,3485108557
164,3499457493
166,3517339797
168,3532645177
170,3557585255
172,3565622372
174,3602361058
176,3609827153
178,3627868746
180,3663261583
182,3684286854
184,3698648448
186,3721829665
188,3736866103
190,3751222862
192,3782508893
194,3794491679
196,3816396878
198,3834355128
200,3852346089
202,3870602153
204,4096214288
206,3938118995
208,3939493857
210,3960162150
212,3972738572
214,4014283371
216,4006687997
218,4032245319
220,4080322241
222,4062565235
224,4091708547
226,4096207603
228,4118848091
230,4174969952
232,4159895256
234,4193128451
236,4206388818
238,4219823835
240,4245148908
242,4265767851
244,4295712300
246,4303665221
248,4334920817
250,4351325859
252,4369363327
254,4423907658
256,4421129349
258,4428197932
260,4436765822
262,4469816546
264,4497550010
266,4510057169
268,4524314940
270,4546465758
272,4560775867
274,4587022540
276,4607321767
278,4631663375
280,4652537037
282,4661074206
284,4681216135
286,4706396143
288,4739408751
290,4746963734
292,4772833661
294,4798101419
296,4808277557
298,4834400782
300,4861441766
,
