QS Recursion Limit, AVG Elapsed Time
2,970540813
4,938963794
6,921055180
8,922948584
10,914391361
12,912392001
14,910916874
16,917557510
18,925717223
20,923283943
22,929340616
24,926731266
26,940923758
28,945259258
30,955387325
32,964307215
34,964313757
36,973267922
38,974829806
40,1010370839
42,1087958149
44,1063122461
46,1054472083
48,1035587967
50,1029730263
52,1029878031
54,1035648411
56,1048096264
58,1054589416
60,1062802462
62,1070890067
64,1074850243
66,1102541183
68,1101945698
70,1106445465
72,1124025547
74,1124268605
76,1198816484
78,1171285687
80,1239537249
82,1221878092
84,1433278251
86,1259719427
88,1306088260
90,1416918008
92,1217714680
94,1246923841
96,1235298317
98,1258250414
100,1283380928
102,1251948692
104,1262324368
106,1274270318
108,1291926346
110,1290182702
112,1299101170
114,1310769645
116,1346709185
118,1489486724
120,1658736216
122,1658762954
124,1412483521
126,1489920786
128,1523968914
130,1492842029
132,1571612343
134,1883953400
136,1789139716
138,1760817311
140,2088991535
142,1851094961
144,1823218848
146,1621582241
148,1584401244
150,1370028500
152,1324462510
154,1741641212
156,1327001033
158,1341434734
160,1417402702
162,1325926403
164,1295079127
166,1368867540
168,1331424711
170,1491735683
172,1405234885
174,1386682004
176,1537584411
178,1433292614
180,1357083296
182,1381159944
184,1433268152
186,1382113543
188,1383096014
190,1398333838
192,1402200432
194,1419220585
196,1421934326
198,1443009660
200,1433372259
202,1449480341
204,1455597175
206,1459312159
208,1469866181
210,1479610817
212,1489120787
214,1489979951
216,1502187021
218,1509123765
220,1516093077
222,1518801556
224,1530382991
226,1541982346
228,1541903698
230,1556767904
232,1565623367
234,1575997194
236,1584098737
238,1592323445
240,1607462710
242,1613382849
244,1614860964
246,1624312480
248,1628844674
250,1638195923
252,1649592042
254,1654733942
256,1659452163
258,1666772906
260,1679204687
262,1688656630
264,1699327559
266,1704276748
268,1810656649
270,1722377220
272,1789361156
274,1732803811
276,1826584251
278,1763604438
280,1900750833
282,1771555083
284,1781724822
286,1801088938
288,1798086770
290,1800042183
292,1810429236
294,1820491881
296,1837851802
298,1854283582
300,1851773787
,
