QS Recursion Limit, AVG Elapsed Time
2,3926164369
4,3799920725
6,3757002486
8,3773106870
10,3760451231
12,3730721821
14,3740362493
16,3731547136
18,3762102430
20,3770870142
22,3770449875
24,3802879373
26,3807386536
28,3838113633
30,3865229853
32,3895666249
34,3923583748
36,3936982356
38,3970521185
40,3986821979
42,4021780044
44,4030715862
46,4070769605
48,4093600529
50,4108366744
52,4157300697
54,4177552422
56,4188296737
58,4242025994
60,4273730301
62,4285337336
64,4327780553
66,4339060904
68,4386793221
70,4396965804
72,4439042515
74,4470952617
76,4488279827
78,4517041557
80,4544125776
82,4596454856
84,4625572995
86,4645618924
88,4686792951
90,4695934991
92,4741973017
94,4792078595
96,4828324766
98,4842136529
100,4871816730
102,4885747533
104,4927469115
106,4937252578
108,4981589056
110,5011961595
112,5055560936
114,5076824856
116,5107291403
118,5130549562
120,5164701085
122,5204188926
124,5216328299
126,5265704562
128,5286223664
130,5305368331
132,5495255255
134,5498957725
136,5440443830
138,5425168885
140,5506696032
142,5497486863
144,5528095490
146,5565924594
148,5597359247
150,5615404253
152,5675905986
154,5697068218
156,5736205054
158,5758169276
160,5802292280
162,5817936859
164,5837537633
166,5878021171
168,5921936673
170,5999403947
172,5994152536
174,6012921594
176,6053221524
178,6059177788
180,6110076539
182,6149223616
184,6161033460
186,6175925258
188,6218271480
190,6254462042
192,6299488156
194,6493138563
196,6685567991
198,6504828940
200,6418763625
202,6492819416
204,6484104184
206,6518792738
208,6556882677
210,6871932499
212,6614332467
214,6654538529
216,6668074808
218,6706465405
220,6729537679
222,6767658481
224,6806395105
226,6826120749
228,6864599097
230,6906446119
232,6982546354
234,7235713321
236,7030791951
238,7034158634
240,7067048078
242,7109069464
244,7123681938
246,7130639873
248,7174873098
250,7205036001
252,7263371265
254,7274883438
256,7306920971
258,7360303348
260,7398284488
262,7410920784
264,7499731840
266,7459458790
268,7498492800
270,7567272291
272,7600555974
274,7602601271
276,7618019291
278,7662517477
280,7705108890
282,7744130384
284,7849648846
286,7827171203
288,7835352959
290,7864466688
292,7904638192
294,7917845226
296,7950280554
298,7992716945
300,8012944918
,
