QS Recursion Limit, AVG Elapsed Time
2,1268369378
4,1236962885
6,1220776866
8,1217005134
10,1215951978
12,1207584622
14,1211654025
16,1219075177
18,1221045808
20,1232192896
22,1238550796
24,1243160500
26,1255894788
28,1256189757
30,1274465163
32,1276381180
34,1281618511
36,1299950663
38,1304532350
40,1313369324
42,1325440572
44,1347139834
46,1343888635
48,1352564898
50,1359335811
52,1373595005
54,1384985009
56,1393203316
58,1428118999
60,1411417140
62,1423622361
64,1435462214
66,1452544660
68,1462575873
70,1469513329
72,1479672115
74,1497460552
76,1502232674
78,1517083797
80,1523363901
82,1687256311
84,1579644766
86,1578619628
88,1575751292
90,1599842304
92,1596949363
94,1615246101
96,1621246312
98,1628515145
100,1638034359
102,1650030087
104,1658762101
106,1679183070
108,1705708783
110,1699221746
112,1706938436
114,1723585113
116,1736761427
118,1742156340
120,1757092654
122,1824972590
124,1813393999
126,1822944360
128,1824737496
130,1868595398
132,1838732442
134,1843492617
136,1860257908
138,1867976589
140,1885945364
142,1887970039
144,1900373375
146,1909945922
148,1920193740
150,1928778270
152,1935617307
154,1950175168
156,1967939285
158,1976895725
160,1986167899
162,1998553458
164,2013652047
166,2021991244
168,2034228465
170,2043723501
172,2057403851
174,2067521535
176,2084545813
178,2096332190
180,2105455599
182,2123667858
184,2130541455
186,2141123211
188,2153209250
190,2164316658
192,2180920385
194,2189368523
196,2205812249
198,2240103577
200,2230102942
202,2239834066
204,2255356051
206,2266866659
208,2267628543
210,2288087059
212,2305648225
214,2311096614
216,2335033599
218,2338776317
220,2344281311
222,2359199135
224,2371906117
226,2382533099
228,2399867989
230,2403991152
232,2420998078
234,2446222742
236,2448181569
238,2454201406
240,2467764422
242,2478402924
244,2491282706
246,2504095642
248,2508058521
250,2521206959
252,2559055405
254,2549008121
256,2557986037
258,2591186236
260,2588290451
262,2595595123
264,2611292325
266,2621631308
268,2635827497
270,2644641716
272,2671971553
274,2664638578
276,2701485638
278,2677570981
280,2713123535
282,2737242707
284,2771409591
286,2770817093
288,2788051432
290,2817215651
292,2817645446
294,2848853113
296,2814056470
298,2795359660
300,2807198233
,
